,Key,Beat_ID
0,4,*-1-1-1-1+2-1-1-1-1-1-1-1*
1,0,*-1+5-1-1-1-1-1-1-1-1-1-1*
2,1,*-1-1-1-1-1-1-1-1-1+1-1-1*
3,17,*-1-1-1-1-1-1-1-1-1+15-1-1*
4,2,*-1-1-1-1-1-1-1+12-1-1-1-1*
5,3,*-1-1-1-1-1-1-1-1-1-1+10-1*
6,5,*+0-1-1-1-1-1-1-1-1-1-1-1*
7,6,*-1-1-1+9-1-1-1-1-1-1-1-1*
8,7,*-1-1-1-1-1-1-1-1+6-1-1-1*
9,8,*-1-1-1-1-1-1+3-1-1-1-1-1*
10,13,*-1-1-1-1-1-1-1-1-1-1-1+16*
11,9,*-1-1-1-1-1+11-1-1-1-1-1-1*
12,10,*-1-1-1+14-1-1-1-1-1-1-1-1*
13,11,*-1+0-1-1-1-1-1-1-1-1-1-1*
14,12,*-1-1+9-1-1-1-1-1-1-1-1-1*
15,15,*-1-1-1-1-1-1-1-1-1-1+7-1*
16,14,*+4-1-1-1-1-1-1-1-1-1-1-1*
17,16,*-1-1-1-1-1-1-1-1-1-1-1+15*
18,18,*-1-1-1-1+0-1-1-1-1-1-1-1*
19,19,*-1+9-1-1-1-1-1-1-1-1-1-1*
20,20,*-1-1-1-1-1-1-1-1-1-1+16-1*
21,21,*-1-1-1-1-1-1+5-1-1-1-1-1*
22,22,*-1-1-1-1-1-1-1-1-1-1+1-1*
23,23,*-1-1+0-1-1-1-1-1-1-1-1-1*
24,53,*-1-1-1-1-1-1-1-1-1-1-1+10*
25,25,*-1-1-1-1-1-1-1-1+1-1-1-1*
26,26,*+5-1-1-1-1-1-1-1-1-1-1-1*
27,27,*-1-1-1-1-1-1-1-1-1+0-1-1*
28,28,*-1-1-1-1-1-1-1-1-1-1+9-1*
29,29,*-1-1-1-1-1+13-1-1-1-1-1-1*
30,30,*-1-1-1-1-1-1-1-1+5-1-1-1*
31,31,*-1-1-1-1-1-1-1-1-1-1-1+13*
32,32,*-1-1-1-1+6-1-1-1-1-1-1-1*
33,33,*-1-1-1-1+5-1-1-1-1-1-1-1*
34,34,*-1-1-1-1-1-1-1-1-1+14-1-1*
35,35,*-1-1-1-1-1-1-1-1-1-1+4-1*
36,63,*-1-1-1-1-1-1-1+16-1-1-1-1*
37,36,*-1-1-1-1-1-1-1+13-1-1-1-1*
38,41,*-1-1-1-1-1-1-1-1-1+17-1-1*
39,42,*-1-1-1-1-1-1-1-1-1-1+17-1*
40,46,*-1-1-1-1+11-1-1-1-1-1-1-1*
41,47,*-1-1+5-1-1-1-1-1-1-1-1-1*
42,48,*-1-1+13-1-1-1-1-1-1-1-1-1*
43,149,*-1+4-1-1-1-1-1-1-1-1-1-1*
44,49,*-1-1+14-1-1-1-1-1-1-1-1-1*
45,50,*-1-1-1-1-1-1-1-1+2-1-1-1*
46,51,*-1-1-1-1-1-1-1-1-1+3-1-1*
47,52,*-1-1-1-1-1-1+11-1-1-1-1-1*
48,95,*-1-1-1-1-1-1-1+9-1-1-1-1*
49,54,*-1-1-1-1-1+9-1-1-1-1-1-1*
50,56,*-1-1-1-1-1-1-1-1-1+10-1-1*
51,57,*-1-1-1-1+3-1-1-1-1-1-1-1*
52,61,*-1-1-1-1-1-1-1+11-1-1-1-1*
53,58,*-1+13-1-1-1-1-1-1-1-1-1-1*
54,59,*-1-1-1-1-1-1-1-1-1-1-1+9*
55,60,*-1-1-1-1-1+5-1-1-1-1-1-1*
56,212,*-1-1-1-1-1-1+15-1-1-1-1-1*
57,62,*-1-1-1-1-1+0-1-1-1-1-1-1*
58,64,*-1-1-1-1-1-1-1-1+11-1-1-1*
59,65,*-1-1-1-1-1-1-1-1-1-1-1+3*
60,66,*-1-1-1+5-1-1-1-1-1-1-1-1*
61,67,*+13-1-1-1-1-1-1-1-1-1-1-1*
62,68,*-1-1-1-1+4-1-1-1-1-1-1-1*
63,69,*-1-1-1-1-1-1+14-1-1-1-1-1*
64,70,*-1-1-1-1-1+4-1-1-1-1-1-1*
65,71,*-1-1-1-1-1-1-1+3-1-1-1-1*
66,75,*-1-1-1-1-1-1-1-1-1-1-1+8*
67,76,*-1-1-1-1-1-1-1-1-1-1+8-1*
68,81,*+0-1-1-1+0-1-1-1-1-1-1-1*
69,82,*-1-1-1+9-1-1-1+9-1-1-1-1*
70,83,*+7-1-1-1-1-1-1-1-1-1-1-1*
71,84,*-1-1-1+15-1-1-1-1-1-1-1-1*
72,85,*-1-1-1-1-1-1-1+14-1-1-1-1*
73,86,*-1-1-1-1-1-1-1-1-1-1+0-1*
74,87,*-1-1-1-1-1-1-1+5-1-1-1-1*
75,88,*-1-1-1-1-1-1-1-1-1+6-1-1*
76,89,*-1-1-1-1-1-1-1-1+0-1-1-1*
77,90,*-1-1-1-1+13-1-1-1-1-1-1-1*
78,91,*+9-1-1-1-1-1-1-1-1-1-1-1*
79,141,*-1-1-1-1-1-1-1-1-1+7-1-1*
80,93,*-1-1-1-1-1-1-1-1-1-1+13-1*
81,94,*-1-1-1-1-1-1-1-1-1+9-1-1*
82,162,*-1-1-1+0-1-1-1-1-1-1-1-1*
83,98,*-1-1-1-1-1+6-1-1+6-1-1-1*
84,100,*-1-1-1-1-1-1-1-1-1-1-1+7*
85,101,*-1-1-1-1-1-1-1-1+15-1-1-1*
86,102,*-1-1-1-1-1-1+16-1-1-1-1+16*
87,167,*-1-1-1-1-1+1-1-1-1-1-1-1*
88,105,*-1-1-1-1-1-1-1-1+4-1-1-1*
89,106,*-1-1-1+12-1-1-1-1-1-1-1-1*
90,107,*-1-1-1-1-1-1+13-1-1-1-1-1*
91,108,*-1-1-1-1-1-1-1-1+7-1-1-1*
92,109,*+2-1-1-1-1-1-1-1-1-1-1-1*
93,110,*+6-1-1-1-1-1-1-1-1-1-1-1*
94,111,*-1-1-1-1-1-1-1-1-1-1+14-1*
95,112,*-1-1-1-1-1-1-1-1-1+4-1-1*
96,204,*-1-1-1+16-1-1-1-1-1-1-1-1*
97,114,*-1-1-1-1-1-1-1-1-1+13-1-1*
98,115,*-1-1-1-1-1-1-1-1-1-1+5-1*
99,118,*-1-1-1-1-1-1-1-1-1-1-1+12*
100,116,*-1-1-1-1-1-1+12-1-1-1-1-1*
101,117,*-1-1-1-1-1+2-1-1-1-1-1-1*
102,119,*-1-1-1-1-1+17-1-1-1-1-1-1*
103,120,*-1-1-1+10-1-1-1+10-1-1-1+10*
104,122,*+1-1-1-1+1-1-1-1+1-1-1-1*
105,124,*-1+1-1-1-1+1-1-1-1+1-1-1*
106,125,*-1-1+10-1-1-1+10-1-1-1+10-1*
107,126,*-1-1-1-1+2+2-1-1-1-1-1-1*
108,127,*-1-1-1-1-1-1-1-1-1-1+12+12*
109,128,*-1-1-1-1-1-1-1-1+2+2-1-1*
110,129,*-1-1-1-1-1-1+12+12-1-1-1-1*
111,130,*+0-1-1-1+0-1-1-1+0-1-1-1*
112,131,*-1-1-1+9-1-1-1+9-1-1-1+9*
113,132,*-1-1-1-1-1-1-1-1-1-1-1+14*
114,133,*-1-1+3-1-1-1-1-1-1-1-1-1*
115,134,*-1-1-1-1-1-1-1-1-1-1+3-1*
116,135,*-1-1-1-1-1-1-1-1-1+11-1-1*
117,137,*-1-1-1-1-1-1+2-1-1-1-1-1*
118,140,*-1-1-1-1-1-1-1-1-1-1+15-1*
119,145,*-1-1-1-1-1-1-1-1-1+3+3-1*
120,148,*-1-1-1-1-1-1-1-1-1+5-1-1*
121,150,*-1-1-1-1-1+3-1-1-1-1-1-1*
122,151,*-1-1-1-1-1-1-1-1-1-1+11-1*
123,152,*-1-1-1+13-1-1-1-1-1-1-1-1*
124,157,*-1-1-1-1-1-1-1-1-1-1-1+11*
125,154,*-1-1-1-1-1+14-1-1-1-1-1-1*
126,155,*-1-1-1-1-1-1+4-1-1-1-1-1*
127,156,*-1-1-1-1-1-1+9-1-1-1-1-1*
128,158,*-1-1-1-1-1-1+16-1-1-1-1-1*
129,161,*-1+3-1-1-1-1-1-1-1-1-1-1*
130,171,*-1-1-1-1-1-1-1-1+11+11-1-1*
131,177,*-1-1-1-1-1-1-1-1-1-1+3+3*
132,217,*-1-1-1-1-1+15-1-1-1-1-1-1*
133,166,*-1-1-1-1-1-1-1-1-1-1+6-1*
134,218,*-1-1+11-1-1-1-1-1-1-1-1-1*
135,181,*-1-1-1-1-1-1-1+10-1-1-1+10*
136,180,*-1-1-1-1+1-1-1-1+1-1-1-1*
137,185,*-1-1-1-1+7-1-1-1-1+7-1-1*
138,182,*+2+2-1-1-1-1-1-1-1-1-1-1*
139,186,*-1-1+0-1-1-1+0-1-1-1+0-1*
140,187,*-1+9-1-1-1+9-1-1-1+9-1-1*
141,219,*+13-1-1-1-1+13-1-1-1-1-1-1*
142,220,*-1-1-1+0-1-1-1+0-1-1-1-1*
143,189,*-1-1-1-1+11+11+11-1-1-1-1-1*
144,190,*-1+0-1-1-1+0-1-1-1-1-1-1*
145,192,*-1+16-1-1-1-1+16-1-1-1-1+16*
146,195,*-1-1+6-1-1+6-1-1+6-1-1-1*
147,200,*-1-1-1+3-1-1-1-1-1-1-1-1*
148,202,*+11-1-1-1-1-1-1-1-1-1-1-1*
149,208,*+9-1-1-1+9-1-1-1-1-1-1-1*
150,210,*-1+1-1-1-1-1-1-1-1-1-1-1*
